net_earnings,job_fraction
35.516666666666666,1.0225515887108732e-05
33.88005198180637,6.725243141136896e-05
33.59547803617571,1.6911430120987517e-05
33.14218106995885,4.247521983875935e-05
32.4790522875817,6.685914233878786e-05
32.06980410162228,0.00014276393334694115
32.028114478114475,1.2978539395176467e-05
31.055092592592594,4.719468870973261e-06
30.157720504009163,0.00019074520020183596
29.981663258350373,6.410611883072012e-05
29.560267597440376,7.511821286299106e-05
29.18532051282051,0.00020451031774217462
28.825138888888887,0.00015731562903244201
28.167110698058654,0.00021158952104863453
27.879546996269035,0.004380453690408348
27.859936942813658,0.00020097071608894467
27.79641203703704,0.00011326725290335826
27.695432098765437,0.0001238860578630481
27.613103448275865,0.00011405383104852046
27.327410289667103,0.000202150583306688
27.20762935219864,0.0003150245471374652
26.890113276694983,0.00026232381141159705
26.79620535714286,8.809675225816753e-05
25.816978039986893,0.00013332499560499462
25.77499594484996,0.00026940301471805694
25.770901119187727,0.0007574747537912083
25.46261073318216,0.0014453373417355612
25.1760646813961,0.00013647130818564344
25.071844426765665,0.012359109105861226
24.76559400930986,0.00021591570084702666
24.536901535682027,0.0002902473355648555
24.056657758547555,0.0030904655323423236
23.77461368653422,5.938664995974686e-05
23.467852361828264,0.0011425047558481101
23.440041152263376,0.00015928207439534756
23.43045865633075,0.0002705828819358003
23.0740583999432,0.03508177856330715
22.584946031746032,0.0003441279385084669
22.248364252942352,0.00021906201342767551
22.116448665611372,0.0015735495793970013
21.30696823965534,0.0004361575814924455
20.96680911680912,3.06765476613262e-05
20.92677606345886,0.0030078748271002913
20.74301031144781,0.002076566303228235
20.60289246411603,0.20074496816128312
20.52656756241662,0.004127175527666117
20.44370187018702,7.944439266138322e-05
20.05889627168697,0.0005919000542345632
19.753418045527283,0.3047022821385015
19.583363423080723,0.07871366156452753
19.361665826189274,0.0005199281539522209
17.88147778953174,0.048331294129492
17.41213181887938,0.0623603086375326
16.539099568055345,0.07719084627549348
16.181248525113908,0.02407322413268944
16.087931439305002,0.0016750181601229263
16.037756053244856,0.011063221611706486
16.025750418905645,0.01210071818517544
15.950724369416063,0.001770587404760135
15.903138264511867,0.015607283556308573
15.468879857956928,0.021387453056033075
15.159320113314449,0.004859086491739553
14.967924652085845,0.010657347288802785
14.905895691609977,0.00046250794935537954
14.669803962316433,0.006308356724200925
14.150596927784825,0.006511687174725356
13.922607020270707,0.004048517713149896
13.912043749685342,0.0017359779663729978
13.623955938697318,0.0015967536346792866
13.6224521281423,0.0014445507635903988
12.880256293944205,0.0034680230420201844
12.431046913580246,0.0004424502066537432
11.958612038066988,0.0017678343812520673
11.65071513706794,0.0009899085956866414
11.371788840977397,0.001003280424154399
10.559696023589611,0.0030232131009309544
10.45578022875817,0.01647409267227733
